Name,Address,Phone,Website,Rating,Pricing,Description,Tags,Images
 Earls Kitchen + Bar - Calgary Tin Palace,"2401 4 St SW, Calgary, AB T2S 1X5",(403) 228-4141,https://www.opentable.ca/r/earls-kitchen-and-bar-calgary-tin-palace-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.5,0.75,"My family and I visited Earls again last night. The food and drink were excellent, every bit as good as last time, including Aiden's and his colleagues' service. That includes the hostess who showed us to our table. The one thing that I always find annoying is the so-called background music which consists of rhythmic thumping. It's terrible and obviously the idea of someone who thinks we need consistent noise in a restaurant. I would love you to get rid of it.","American,Mission","['', '', '']"
 Pulcinella,"1147 Kensington Crescent NW, Calgary, AB T2N 1X7",(403) 283-1166,https://www.opentable.ca/pulcinella-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.1,0.5,It was a nice sunny day and sat upstairs in the patio.  The waitress was friendly and attentive.  Really enjoyed the caprese salad and sangria.,"Italian,Kensington","['https://s2.qwant.com/thumbr/450x450/d/3/d31bb1dc5c01bfbed03e5a54df2c21179b66c9e98ef639d7e5d44aff678766/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Iw0o5dfmzwv3Ay26Fdd2owAAAA%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/b/1/82cecaaeb3052acc2c722d168dac4239129bfc6505fa80d1324671fd2a13be/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Ia-s52TJuoDN1c4Qzagr6QHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/c/8/3b68cc6e9fa6bba732d3fdc91c1a9ac4f1911816aac2e85bddd001c6919d65/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.oIfB3zC7lzagwMlvCX4rWgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Posto Pizzeria and Bar,"1014 8 St SW, Calgary, AB T2R 1K2",(403) 263-4876,https://www.opentable.ca/posto-pizzeria-and-bar?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.5,0.5,"The food is great, the drinks are amazing, but the staff are the best part of the experience! Love it here, always a good time. The burrata is so good it should be illegal.","Canadian,Calgary","['https://s1.qwant.com/thumbr/474x314/1/c/f73f1768b2d4304e5da94914cc64cf8888c4ea30bec8d7b80396610cb4a4c5/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.iFk03tjk6hFzU06z5pSY4AHaE6%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x316/4/9/05e3821679f2881f201f801b58ad92b68060cb7c4c2fccf8458b5785c0503e/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.U1Yyx1DjkIFubM0uYl1DUAHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x711/b/6/92812b46549050135bf64d1732ec43d32b8aff5ad41adc64ce22a072937882/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.ZkEmXMRAatyICDkVjiqRtQHaLH%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Centini Restaurant,"160 8 Ave SE, Calgary, AB T2G 5J2",,https://www.opentable.ca/r/centini-restaurant-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.3,0.75,Food was amazing & the staff was friendly. Would recommend,"Italian,Downtown","['', '', '']"
 South Block Barbecue & Brewing Co.,"2437 4 St SW, Calgary, AB T2S 1X5",(403) 764-4227,https://www.opentable.ca/r/south-block-barbecue-and-brewing-co-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.6,0.5,"Absolutely amazing! Food was to die for! Drinks were great, especially the wide selection of whiskey! Service was awesome and the atmosphere spectacular! We ended up spending the whole night there on a Monday night and our server was super attentive throughout it all! Will definitely be back soon!","Barbecue,Mission","['https://s2.qwant.com/thumbr/474x248/c/6/c6ce52b00a92d6c62a944737c04ca4693124f56cb74c0d4e38fb16304776b4/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.hBL1X0dC0IoLUHkbHAACbgHaD4%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x248/2/2/d1180683f931383755be0bb074928dd3fd4a96bfeb2609d7cb1383f07773d9/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.G8-fNWRqunsD-MT7CZ2ahwHaD4%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/2/5/271aed3cc2b5d56caea3e63204499db23ebb1b672309d171beae9e937e5a02/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.MgwiOPDPOJZsL3Yt6MV2TgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Blanco Cantina â Calgary Kensington,"1140 Kensington Rd NW, Calgary, AB T2N 3P3",(403) 454-9602,https://www.opentable.ca/r/blanco-cantina-calgary-kensington?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,5.0,0.75,It was a patio weather nite & the Food & ambience were excellent! Our server was Kayla & she was outstanding! Super friendly & lots of fun!!,"Mexican,Kensington","['https://s1.qwant.com/thumbr/474x316/8/2/85536804efac65ae12ef13700eeee2bce1b178f8aff6cffbee77beb38b3607/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.D_MK12G0W-fZex2b_ZwwnAHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x244/0/6/90a1029b1a67ff6d4a3c2805f5262195ba28c3fedb0be76361542561632fc4/th.jpg?u=https%3A%2F%2Ftse3.explicit.bing.net%2Fth%3Fid%3DOIP.bQqQ_DLrPNCjh3AOJOZMLAHaD0%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x332/b/5/82cc236db94a1fb25990ae513b690c1bbf71e99f432678428cdd6a348f4cb6/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.jM9sd2R8dojf7n4lJbHK5gHaFM%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Flower & Wolf,,,https://www.opentable.ca/r/flower-and-wolf-calgary-1?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,5.0,0.5,"We ordered fish and chips (almost 5or us) the portion size of the fish that I had here in May compared to this occasion was significantly different, the price remained unchanged. Not sure its its the inflation or usual Stampede effect across the town but was not satisfied","Canadian,Downtown","['https://s2.qwant.com/thumbr/474x296/c/4/1968d555d0cfb021169fa31958c2d06aa4489412c6310509d23cbcf5faa325/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.tT6XhIDtI-C4-LXkSV4ZBgHaEo%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x465/4/0/79ac2963180bc8a492234bfd767fa511354ee26444282327e6e724c09dd9c7/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.AX5DKuU_WyhUaI0R7dhhzgHaHR%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x366/2/2/a47867cdcd69de189899950a72cc8687b9065481d16c1e087cf7b3be94ab9f/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.ATR3NSySCZbSxfOUCQ_-IQHaFu%26pid%3DApi&q=0&b=1&p=0&a=0']"
 The Living Room Restaurant,"514 17 Ave SW, Calgary, AB T2S 0B1",(403) 228-9830,https://www.opentable.ca/the-living-room-restaurant?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.2,0.5,"Good wine selection, good service, most patrons were sat outside so the inside was very quiet.","Contemporary,French,American,Downtown","['https://s1.qwant.com/thumbr/474x474/2/0/62467eedb166bdda4bfa4d2a8675c6b5409ae16cd5233cc3d5ba30965ba177/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.gnrSeeGYkQiAV6GAEj4ZNgHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x242/f/3/a7d769e3dea1bcf04d6241075698fb2702ef2bae59a8627f3ee0bd0a33002a/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.-XQomrdeJ_BHqHtvQlXJOQHaDy%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x355/6/8/c03185f9e95f56f9c9a26c6b4ac3e036da568864eab50d59e66e225cf19c41/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.NHbczyWOknyV-wVsfYRCsQHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Vendome,"940 2 Ave NW, Calgary, AB T2N 0E6",(403) 453-1140,https://www.opentable.ca/r/vendome-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.4,0.5,"A lovely restaurant. Our server was great as was all staff.
An enjoyable dining experience.","Mediterranean,Kensington","['https://s2.qwant.com/thumbr/350x250/e/9/4848ee0de4cee8bb8171e00366bbc691b7422aa4c2f4f05b92d9e851418ceb/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.TPTAal5AqoZIkHUYhz478wAAAA%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x353/6/5/50587e431bcf17a3fef4bac4db145f393ec2d613206c871547416c95996989/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.4cKHZAy2x1UR5AqlO-zpXAHaFh%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x355/7/4/fd3286f96196fc7a22f3ffa44ff8e37c93df5d3ee6d682b6eaa1c99879cea5/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.d4hYcZLu8Cn05GsLXMK5nwHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Carino,"2210 4 St SW, Calgary, AB T2S 1W9",(403) 454-7668,https://www.opentable.ca/r/carino?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.6,0.75,Food was amazing. The servers were also very attentive to our needs. Would definitely come again.,"Italian,Mission","['https://s2.qwant.com/thumbr/474x474/4/3/df3a89056edadc1c374db7b7d39ce5bf8e1c83a07657a3e0468558df6890ec/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.0BxbL2Ep7JAyyjs0z2nqegHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x351/d/f/b8930a65492385a22f71fed9ad426f3f6aec1a1fe7b53e21f3999c3a66fbb7/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Vc1BILNp3qzVE7O3Ispg3gEsDe%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/4/5/51531b7bf85eddd9925c34a8331200c603af4910ab994e5d9d4a2190b65493/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.wATd3kVqf2uZEcybvK9N1wHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
 JINBAR,"JINBAR restaurant - Calgary, AB | OpenTable",(587) 349-9008,https://www.opentable.ca/r/jinbar-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.0,0.75,Very good food. Enjoyed the place immensely. We will be back!,"Contemporary,Korean,Downtown","['https://s2.qwant.com/thumbr/474x315/4/f/ffaf02304bb243332d17359149e5415187409f6b845c5b1b2d98af6e6c411d/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.gWtPxIjLEfbegVxvw6OtkAHaE7%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x248/8/6/7feaddadf1f1645771068d8b111860511cb5084b9d50dc2db859cb8ff547f6/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.s1K0i4CkpsnGFRnlEz3IuwHaD4%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/288x191/1/b/d281e6c4afa527aa49d929d55bd92666725d83d0380441a8619888d3fe65af/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.-qFexR4VfTRXFtfDOILDEQAAAA%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Grande Amore,"2116 4 St SW #1, Calgary, AB T2S 1W7",(587) 351-6372,https://www.opentable.ca/r/grande-amore-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.8,0.75,Staff was wonderful. The man I believe to be the owner really takes pride in the food. Meal was very good. Will definitely be back!,"Italian,Calgary","['https://s1.qwant.com/thumbr/474x474/0/1/500cd950d1695aad4e0d816515020337b4ea60900b7c287c32f37c333c79e2/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.jpxC9qyMwCfICwH5yDmqfwHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/441x294/2/9/92f12ae7903cfb62e7b08941153cf928234724aa9caa559cc3e673c0bdf74f/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.TLduMvvgB__LGl4_XMS1dwAAAA%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x957/d/4/a46454afd4458e97480d389c1f0718c3b77aa19f60442d087b926cbeb35b56/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ZOC5HumLIRqpVaokObXOUwHaO9%26pid%3DApi&q=0&b=1&p=0&a=0']"
 MODERN STEAK - Kensington,"107 10A St NW, Calgary, AB T2N 4M7",(403) 670-6873,https://www.opentable.ca/r/modern-steak-kensington-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.8,0.75,"I brought my husband to Modern Steak for his birthday dinner on July 6. We arrived quite early for our reservation of 5:30 but decided to take advantage of the happy hour drink special. The hostess was so accommodating and went to check if our table was ready and took us right down. Our server was amazing and so knowledgeable. She explained about the different ranches and the steaks that come from each. She was very attentive and chatted with us throughout the evening. My husband had the ribeye from the ranch in Warner and was blown away by how good it was and, let me tell you, heâs VERY particular! I had the flatiron steak which was also delicious. We ordered the beef tallow potatoes and brussel sprouts as our sides. My only negative comment would be that the brussel sprouts seemed a bit overdone. They were quite dark in colour (almost black) and a little on the dry side. The potatoes however, were very good. We finished off with the Baked Alaska which we thoroughly enjoyed. All in all we had a wonderful experience and have been telling our friends and family to check out your fine establishment.","Steakhouse,Kensington","['https://s2.qwant.com/thumbr/474x474/e/7/f608dc15a6766c617f76d0dee349d0efe68fb4b8cfb48695e5f4306637e91f/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.S70uMnN_TfFjlSx7FwjS2wHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x316/4/7/482e93f004251e723cc356622260a8b3970e46b0839bd454826f5e93c59c8f/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.OWp3kFKfoQABRkEdnBSPUQHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/1/5/0d962cced4267632ef50bc2842b79bc5067b8c801ace97143481519c8e7a69/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.9lA9zMA1_USElMNUk6U83QHaE8%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Buchanan's Chop House and Whisky Bar,"738 3 Ave SW, Calgary, AB T2P 0G7",(403) 261-4646,https://www.opentable.ca/r/buchanans-chop-house-and-whisky-bar-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,5.0,0.75,I always appreciate the service at Buchanan's and the food is delicious!,"Steakhouse,Calgary","['https://s2.qwant.com/thumbr/400x400/d/0/77a9c8d40777105d12fa26aba16aaca0179d520f40aa45e05feb43840e18e3/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.dwELbaZDUEl_Jt0lavz0OwAAAA%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/a/c/ab890580e4bd86ee362f4c9ef112b24b0516fecee884cfd4e1a25bfa8cc5dd/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.4rsGdeZxTjsffK_JZ918BAHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/250x250/4/c/ddc82cf574e84ecddb1de48cd6a9e514254f99856332d7de4b3627b5fe90fd/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.0CgbtG0WS8yY2fttf-L44wAAAA%26pid%3DApi&q=0&b=1&p=0&a=0']"
 National on 17th,"550 17 Ave SW, Calgary, AB T2S 0B1",(403) 229-0226,https://www.opentable.ca/r/national-on-17th-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.9,0.5,Great Patio and Music. Large Tables and lots of sun!,"Canadian,Downtown","['https://s1.qwant.com/thumbr/474x355/2/9/bf6a0f07b26bd13abe648d430e35f0ccb30a547109273ec4a6f9d703fe3a7b/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.wvcOgf2Bba-uZHJbOtj6TwHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/0/a/9eb184980357527417027a437b8d17d83395069a8908cdcb9d28b029e2aec8/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.VNivEcKp0WewrbDEo_FvjwHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x314/7/9/82a7d4d08121ff918b28a33d2bc2f40bea5cda892522c25d649624d4245b2c/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.aXt3kL_j5wP8afpxUOcpiwHaE6%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Moxies - Calgary Downtown,"888 7 Ave SW, Calgary, AB T2P 3J3",(403) 234-7507,https://www.opentable.ca/r/moxies-calgary-downtown-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,3.9,0.5,"Very good service and food
We enjoyed very much ð","Contemporary,American,Calgary","['https://s2.qwant.com/thumbr/474x237/e/f/882e1fbef46acbd37a3a466bce141b422077d90036d4d46c55f9ab5a90e20b/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.xrBhFbP_NaLfszNYjHnsYAHaDt%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/2/a/92374c3bcc0abc00bee62c4381da792823f0792a6a12324e51c9d159fe6851/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.E3u8N16HqkuCx1HTGbcaLQHaFj%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/450x600/c/1/bd30fa01420fb0f403b278480995ebfc83f0741a3f1c87a3ff63a850821ee8/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.GkjBPkUtjHssrm8mPWxbVgHaJ4%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Big Fish and Open Range Calgary,"1112 Edmonton Trail #1, Calgary, AB T2E 3K4",(403) 277-3403,https://www.opentable.ca/r/big-fish-and-open-range-calgary-calgary?corrid=c308e5e0-5ec9-49f5-8b59-3d1e34649c06&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.3,0.75,"The food and service were top notch. Had the mussels as an appetizer and the broth was so good needed to order extra bread to sop it up. Both the cod and the mackerel were delicious. Plenty of vegetables on the plate so really didnât need the salad before hand. Dessert was wonderful, both the chocolate torte and the pecan pie were devoured. Only downside was very loud speaking diners sitting close to us. Could hear every word they spoke. Will come back!","Seafood,Calgary","['https://s2.qwant.com/thumbr/474x316/5/7/ddd0be030797f884bc3222fa97ebf8dab27d57eaf4575edc97e1d6eda2780d/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.uMbwwQ7hjPMDgZJndO__JgHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/7/9/e1e2c7385ed8355ec6c18093bf62f27aa802414f070338be5690c7ca2bc540/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.rFzihF4Xqw0ns5u_QpElQAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x474/c/4/3accb3b25ec2687c2ac73685d20657a9a99edb722b11bd67a47a85eb4b8b00/th.jpg?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ne58nkkJx0fyV0Nm4E8DyAHaHa%26pid%3DApi&q=0&b=1&p=0&a=0']"
 Vin Room Mission,"2310 4 St SW, Calgary, AB T2S 1X2",(403) 457-5522,https://www.opentable.ca/vin-room-mission?corrid=0bf203df-b92d-4b12-ae50-b85edcc3f035&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.1,0.5,"Such a wonderful outing, our server was delightful and thoughtful. You canât go wrong going to Vin Room, and if it is for a special occasion, theyâll be sure to make you feel like a VIP. ð","Tapas,Small,Plates,Calgary","['https://s1.qwant.com/thumbr/208x208/9/4/54291df79aec30eaf01181511340f2ea6f6a069c3b1453553a2985ebfeb685/th.jpg?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.aVtrCLARw56E3yHnlnAJBgAAAA%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x474/3/1/472ca6457401b7464f02c38dc53f25794d15a06421a8efe4ec7bcf970886dc/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.7lZMy7lDYZ0i1fSWlLMPywHaHa%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x355/3/d/d9dd54f569ae760e6e9d948a1337886094461553810ab568ffc28f447e0d7f/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.hTpZIWCCDPu3N_ZR4X-edQHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
 1886 Buffalo Cafe,"255 Barclay Parade SW, Calgary, AB T2P 5C2",(403) 452-0153,https://www.opentable.ca/r/1886-buffalo-cafe-calgary?corrid=0bf203df-b92d-4b12-ae50-b85edcc3f035&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2022-07-23T19%3A00%3A00,4.1,0.5,Enjoyed brunch.  Potatoes are a little salty but everything else was very good!!,"Comfort,Food,Calgary","['https://s1.qwant.com/thumbr/474x317/a/d/fd2f419b313644e546b1c0c38f310f80a4e0782fcc22357728651ec5b21912/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.fK6rOite7BHJPXypAEy3XQHaE9%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s1.qwant.com/thumbr/474x316/1/b/129bad0117582be80fde8c1e10f6fef31c0f542b17dfbf3237672a8ff1256a/th.jpg?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.LzqU_god9dnzau6fS_KQHwHaE8%26pid%3DApi&q=0&b=1&p=0&a=0', 'https://s2.qwant.com/thumbr/474x355/c/6/0bec6562a1ffff2c93cad3d48d006f7ebd78ec3412a5524449353304552ae2/th.jpg?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.8CGDkpJYjcQe4LL6UmzhQQHaFj%26pid%3DApi&q=0&b=1&p=0&a=0']"
